# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1786635999225000000,1786636020478000000,0
jps.global.initialize.library.bridges.ms,1786635999225000000,1786636020478000000,0
jps.global.initialize.library.bridges.after.loading.ms,1786635999225000000,1786636020478000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1786635999225000000,1786636020478000000,0
jps.global.get.library.ms,1786635999225000000,1786636020478000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1786635999225000000,1786636020478000000,0
workspaceModel.global.updates.count,1786635999225000000,1786636020478000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1786635999225000000,1786636020478000000,0
jps.library.entities.serializer.save.entities.ms,1786635999225000000,1786636020478000000,0
jps.save.global.entities.ms,1786635999225000000,1786636020478000000,3
workspaceModel.save.cache.to.file.ms,1786635999225000000,1786636020478000000,0
jps.global.handle.changed.events.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1786635999225000000,1786636020478000000,0
jps.library.entities.serializer.load.entities.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1786635999225000000,1786636020478000000,0
workspaceModel.do.save.caches.ms,1786635999225000000,1786636020478000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1786635999225000000,1786636020478000000,0
jps.load.initial.state.ms,1786635999225000000,1786636020478000000,7
jps.global.get.libraries.ms,1786635999225000000,1786636020478000000,11
workspaceModel.load.cache.from.file.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1786635999225000000,1786636020478000000,0
jps.global.get.library.by.name.ms,1786635999225000000,1786636020478000000,0
jps.app.storage.content.reader.load.component.ms,1786635999225000000,1786636020478000000,0
workspaceModel.load.cache.metadata.from.file.ms,1786635999225000000,1786636020478000000,0
workspaceModel.global.apply.state.to.project.ms,1786635999225000000,1786636020478000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1786635999225000000,1786636020478000000,0
jps.app.storage.content.writer.save.component.ms,1786635999225000000,1786636020478000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1786635999225000000,1786636020478000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1786635999225000000,1786636020478000000,0
workspaceModel.global.updates.ms,1786635999225000000,1786636020478000000,0
workspaceModel.sync.entities.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.instances.count,1786635999225000000,1786636020478000000,2
jps.global.handle.before.change.events.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.entities.ms,1786635999225000000,1786636020478000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1786635999225000000,1786636020478000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1786635999225000000,1786636020478000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1786635999225000000,1786636020478000000,0
Indexes.entries.lookupDurationAvgMs,1786635999225000000,1786636020478000000,2.0
Indexes.stubs.lookups,1786635999225000000,1786636020478000000,0
Indexes.allKeys.lookupDuration90PMs,1786635999225000000,1786636020478000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1786635999225000000,1786636020478000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1786635999225000000,1786636020478000000,0
Indexing.cache.totalCacheAccesses,1786635999225000000,1786636020478000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1786635999225000000,1786636020478000000,0
Indexes.entries.lookupDuration90PMs,1786635999225000000,1786636020478000000,2.0
Indexing.totalTimeIndexersSleptMs,1786635999225000000,1786636020478000000,0
